CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source
aicase-02431,Various,Anticipating Supply Chain Disruptions with AI,"Business Insider: GM uses AI to map supplier networks, monitor risk (For example,  weather, supply shortages), and intervene before disruptions",,,Supply Chain / Risk Management,,,,https://www.businessinsider.com/how-gm-uses-ai-predict-prevent-costly-supply-chain-disruptions-2025-9,Business Insider
aicase-02432,Various,Optimizing Distribution & Reducing Waste with AI,"Business Insider: Walmart is applying AI + robotics in its distribution centers to reduce food waste, optimize inventory, and create ""perfect pallets""",,,Retail / Distribution / Logistics,,,,https://www.businessinsider.com/ai-robotics-walmart-distribution-supply-chain-efficiency-2025-9,Business Insider
aicase-02436,Various,Reinventing Fashion with AI Stylists & Virtual Try-Ons,"NY Fashion Week 2025: designers used AI for digital try-ons, simulated models, AI stylists, and visual content",,,Fashion / Virtual / Hybrid Retail,,,,https://www.washingtonpost.com/style/fashion/2025/09/20/artificial-intelligence-nyfw-ai,Washington Post
aicase-02437,Various,Enabling Vision-Action Robotics with Gemini Models,Google launched Gemini Robotics / Gemini Robotics-ER — vision + language + action models for robotics,,,Robotics / AI + Vision / Spatial Reasoning,,,,https://www.reuters.com/technology/google-introduces-new-ai-models-rapidly-growing-robotics-industry-2025-03-12,Reuters
aicase-02439,Div-idy — AI-Powered Web & Game Creation from Prompts,Enabling Web & Game Creation via Natural Language,"Div-idy lets users create websites, games, and interactive tools using natural language prompts.  It uses modular prompt engineering + RAG + multi-pass calls to assemble front-end code + design assets",,,No-code / Creator Tools,,,,https://medium.com/write-your-world/div-idy-the-ai-that-builds-websites-games-blogs-92f2dc4a2fc6,Medium
aicase-02445,Delphi-2M – disease susceptibility prediction,Predicting Long-Term Disease Risk with AI,"Scientists from EMBL built an AI model that can predict a person’s risk of over 1,000 diseases decades ahead using large health datasets. This can help in preventive medicine and public health strategy",,,,,,,https://www.ft.com/content/598e07ec-954f-49b7-9bc5-ce77f9fff934,Financial Times
aicase-02447,Synthetic Data for Regulated Industries,Generating Compliant Synthetic Data for AI,"Research shows that synthetic data can enable regulated industries (finance, healthcare) to build robust AI models while staying privacy-compliant, allowing more data variety without risking exposure of sensitive data",,,,,,,https://arxiv.org/abs/2503.12353,Arxiv
aicase-02448,Blockchain-Enabled Explainable AI for Healthcare,Building Auditable & Transparent AI in Healthcare,"Proposed framework (BXHF) combining blockchain + explainable AI, so clinical decision support systems have transparency + data auditability + tamper-resistance. Useful for cross-institution collaboration and trust",,,,,,,https://arxiv.org/abs/2509.14987,Arxiv
aicase-02449,Homomorphic Encryption in Healthcare Diagnostics,Privacy-Preserving AI via Encrypted Diagnostics,"Study explores using fully homomorphic encryption (FHE) to run neural networks / diagnostic algorithms over encrypted data in healthcare, so data privacy is preserved even during model inference",,,,,,,https://arxiv.org/abs/2501.04058,Arxiv
aicase-02450,AI in Healthcare SMEs – readiness & adoption models,Scaling AI Adoption in Health-Tech SMEs,"A case study of Finnish health-tech SMEs: examines how smaller orgs adopt AI, the challenges (For example,  regulation, talent, funding), and suggests a three-stage model of “curious → embracing → catering",,,,,,,https://arxiv.org/abs/2503.14527,Arxiv
aicase-02452,E2E Expense Processing Agent + IDP,Automating Expense Processing with Generative AI,"A Korean enterprise integrated generative AI + intelligent document processing (IDP) + an automation agent to handle full cycle of expense receipt processing (OCR, classification, exception handling, human-in-loop). Achieved ~80 % reduction in processing time, fewer errors, better compliance",,,Finance / Enterprise Ops,,,,https://arxiv.org/abs/2505.20733,Arxiv
aicase-02453,Redefining CX via Agentic AI (Minerva CQ),Enhancing Contact Center Performance with Agentic AI,"A live system deployed in a contact center where an agentic AI co-pilot proactively supports agents: detecting intent, managing context shifts, triggering workflows dynamically. Improves efficiency, first-contact resolution, reduced agent cognitive load",,,Customer Support / Contact Center,,,,https://arxiv.org/abs/2509.12589,Arxiv
aicase-02454,AI-Enhanced Insurance Claim Automation + Process Mining,Automating Insurance Claims with AI & Process Mining,"In an insurance company, an LLM was deployed to automate identification of “claim parts” (portions of claims), previously manual bottlenecks. They used object-centric process mining to compare processes pre- and post-AI",,,Insurance / Process Optimization,,,,https://arxiv.org/abs/2504.17295,Arxiv
aicase-02462,SmartDate – Quality Control for Date Fruits,Automating Date Fruit Sorting & Quality with AI,"An AI system using imaging + Vis-NIR spectral sensors + deep learning + reinforcement learning to classify date fruits (sweetness, moisture, texture) and predict shelf life to reduce waste",,,Agriculture / Food,,,,https://arxiv.org/abs/2508.00921,Arxiv
aicase-02463,AgroLLM – Chatbot for Farmers,Empowering Farmers with AI Chatbot Advice,"Large Language Models + retrieval-augmented generation (RAG) used to build a chatbot that gives farmers contextually relevant, localized advice on farming best practices",,,Agriculture / Knowledge Transfer,,,,https://arxiv.org/abs/2503.04788,Arxiv
aicase-02464,Farmer.Chat – Generative AI for Smallholder Agriculture,Scaling Agri-Advisory Services with Generative AI,"Deployed in multiple countries, supports smallholder farmers with generative AI for agritech services — answering queries, giving advice, scaling outreach",,,Agriculture / International Development,,,,https://arxiv.org/abs/2409.08916,Arxiv
aicase-02470,Abridge – AI Medical Documentation,AI for clinical documentation,Healthcare startup Abridge raised $250 million to enhance AI capabilities for clinical documentation. The company provides AI-powered solutions for medical documentation.,Healthcare,Healthcare,"Clinical documentation, medical records",Legal & Compliance,Not specified,Not specified,https://www.reuters.com/business/healthcare-pharmaceuticals/healthcare-startup-abridge-raises-250-million-enhance-ai-capabilities-2025-02-17/,Reuters
aicase-02472,Johnson & Johnson – Focused GenAI Strategy for R&D & Sales,Scaling High-Value GenAI Use Cases in Pharma,"J&J pivoted from many experiments to fewer high-impact GenAI use cases, For example,  drug discovery, supply chain optimization, and an AI tool for sales reps (“Rep Copilot”)",,,Pharma / Enterprise AI Strategy,,,,https://www.wsj.com/articles/johnson-johnson-pivots-its-ai-strategy-a9d0631f,WSJ
aicase-02473,AI2Agent (Framework for Autonomous Deployments),Automating AI Deployments as Agents,"A system that automates deployment of AI projects (debugging, environment config) into agentic services with minimal human intervention",,,AI / DevOps / Tools,,,,https://arxiv.org/abs/2503.23948,Arxiv
aicase-02474,Compound AI Orchestration Architecture,Orchestrating Compound Agent Systems,"Proposes an architecture to orchestrate multiple agents + data (agent registry, data registry, planners) for robust enterprise AI",,,Enterprise AI / Systems,,,,https://arxiv.org/abs/2504.08148,Arxiv
aicase-02475,Reasoning-Based AI for Startup Valuation (R.A.I.S.E.),AI-Augmented Startup Evaluation,Combines LLM reasoning + structured rules + memory to evaluate startups and produce interpretable judgments,,,Finance / Decision Support,,,,https://arxiv.org/abs/2504.12090,Arxiv
aicase-02480,Meta’s Llama Deployment Expansion,Scaling LLM Adoption Globally,"Meta expands access to its large language model (Llama) beyond U.S., enabling allied governments / organizations abroad",,,Models / Platform,,,,https://www.reuters.com/business/retail-consumer/metas-llama-be-made-available-us-allies-europe-asia-2025-09-23,Reuters
aicase-02485,Process Mining + AI for Process Optimization,Mining & Optimizing Business Processes with AI,"Combining process mining and generative AI to identify bottlenecks, propose changes, simulate outcomes",,,Business Ops / Analytics,,,,TBD,TBD
aicase-02487,Business Model Innovation in AI Startups,Business Model Innovation via AI,Studies of how AI startups continuously pivot and innovate their business models through data and AI leverage,,,Strategy / Innovation,,,,https://www.sciencedirect.com/science/article/pii/S1059056025000619,Science Direct
aicase-02490,Various,How AI Is Building Smarter Factories,,,,,,,,https://www.forbes.com/councils/forbesbusinesscouncil/2024/10/01/how-ai-is-building-smarter-factories/,Forbes
aicase-02503,Small / Medium Enterprises (SMEs) AI Growth Framework,Accelerating SME Growth via AI,"A recent study shows that SMEs adopting AI see boosts in revenue, operational efficiency, and time savings. The paper offers a phased roadmap for how SMEs can integrate AI strategically",,,Business Strategy / SMEs,,,,https://arxiv.org/abs/2509.14532,Arxiv
aicase-02504,DeepSeek in Chinese Hospitals,Enhancing Hospital Diagnostics with AI,"“DeepSeek” has been deployed in China’s tertiary hospitals — it integrates multimodal AI (imaging + pathology + decision support) to augment diagnosis, streamline workflows, and reduce burden on medical staff",,,Healthcare,,,,https://arxiv.org/abs/2502.16732,Arxiv
aicase-02505,Various,Automating Ad Campaigns with Agentic Multimodal AI,Agentic Multimodal AI for Hyperpersonalized Advertising — framework to autonomously generate and deploy culturally relevant ad content tailored to personas and market dynamics,,,Marketing / Advertising,,,,https://arxiv.org/abs/2504.00338,Arxiv
aicase-02506,Various,Automating Industrial Workflows with Agentic AI,"Agentic AI for Intent-Based Industrial Automation — humans express high-level goals (in natural language), which the system decomposes into tasks and commands sub-agents to execute them (For example,  for predictive maintenance workflows)",,,Industrial / Manufacturing,,,,https://arxiv.org/abs/2506.04980,Arxiv
aicase-02507,Various,Optimizing Wine Production & Experience with AI,"AI in the Wine Industry — AI used to monitor vineyards, manage irrigation, optimize resources, plus AI-driven chatbots / recommendation systems for enotourism (wine tourism) to enhance consumer engagement",,,Sustainability / Agri / Food & Beverage,,,,https://arxiv.org/abs/2507.21098,Arxiv
aicase-02508,AI-In-The-Loop Urban Electrification Planning,Planning EV Infrastructure with AI Agents,"In Austin (TX), planners used GeoAI + LLMs to identify optimal EV charging sites, simulate usage scenarios, and run trade-off analysis. Humans remain “in the loop” to validate, audit, and guide",,,Urban / Infrastructure / Energy,,,,https://arxiv.org/abs/2504.21185,Arxiv
aicase-02513,Generative AI Use Cases in Enterprise (Top 10),Leveraging GenAI Across Enterprise Functions,"Blogging / vendor sources list GenAI applications: fraud detection, automated content creation, code generation, personalization, RAG systems, anomaly detection",,,Broad / Enterprise Strategy,,,,https://www.k2view.com/blog/generative-ai-use-cases,K2view
aicase-02514,Korean Enterprise: AI + IDP + Agent for Expense / Admin Automation,Expanding Agentic AI into Admin Automation,"Similar to #1, but part of a broader trend: using generative AI + IDP + agents to automate admin tasks beyond finance (HR, procurement, audit)",,,Enterprise / Back Office,,,,https://www.k2view.com/blog/generative-ai-use-cases,K2view
aicase-02515,AI in Marketing / Segmentation / Personalization,Hyperpersonal Marketing with AI,"Use of AI to generate segments, content, campaign variants, or personalized messaging",,,Marketing / Growth,,,,https://theintellify.com/top-ai-use-cases-across-industries,The Intellify
aicase-02516,AI Operations / AIOps & Anomaly Detection,Proactive Infrastructure Monitoring with AI,"Systems that monitor performance, detect anomalies, root cause analysis in apps/networks",,,IT / Infrastructure,,,,https://theintellify.com/top-ai-use-cases-across-industries,The Intellify
